raw_facet,normalized_facet,category,conversation_observable,sensitivity,scoring_definition,abstention_reason
Collectedness,Collectedness,Personality/Cognitive,True,Low,"Measures the degree of 'Collectedness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Reliance on context,Reliance on context,Personality/Cognitive,True,Low,"Measures the degree of 'Reliance on context' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Delegation skills,Delegation skills,Personality/Cognitive,True,Low,"Measures the degree of 'Delegation skills' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
767. I Ching hexagram 49 resonance level,I Ching hexagram 49 resonance level,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Managing emotions,Managing emotions,Personality/Cognitive,True,Low,"Measures the degree of 'Managing emotions' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Scripture memorization verses,Scripture memorization verses,Personality/Cognitive,True,Low,"Measures the degree of 'Scripture memorization verses' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Conventional,Conventional,Personality/Cognitive,True,Low,"Measures the degree of 'Conventional' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
890. Hindu spiritual metric: Bhagavad-Gita study hours,Hindu spiritual metric: Bhagavad-Gita study hours,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Open-source contributions,Open-source contributions,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Psychological construct: Social Conformity tendency,Psychological construct: Social Conformity tendency,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Social Conformity tendency' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Individuality,Individuality,Personality/Cognitive,True,Low,"Measures the degree of 'Individuality' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
740. I Ching hexagram 22 resonance level,I Ching hexagram 22 resonance level,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Attachment style: Secure,Attachment style: Secure,Personality/Cognitive,True,Low,"Measures the degree of 'Attachment style: Secure' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Intelligence Quotient (IQ),Intelligence Quotient (IQ),Personality/Cognitive,True,Low,"Measures the degree of 'Intelligence Quotient (IQ)' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Blog-subscriber count,Blog-subscriber count,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Non-Verbal Communication Skills,Non-Verbal Communication Skills,Personality/Cognitive,True,Low,"Measures the degree of 'Non-Verbal Communication Skills' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Drug-use history,Drug-use history,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Commute time/day,Commute time/day,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Decision-making speed,Decision-making speed,Personality/Cognitive,True,Low,"Measures the degree of 'Decision-making speed' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Excuse-Making tendency,Psychological construct: Excuse-Making tendency,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Excuse-Making tendency' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Peer-to-peer lending usage,Peer-to-peer lending usage,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Psychological construct: Eye-Contact avoidance score,Psychological construct: Eye-Contact avoidance score,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Eye-Contact avoidance score' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Social-cognition variable: Faux Pas Recognition accuracy,Social-cognition variable: Faux Pas Recognition accuracy,Personality/Cognitive,True,Low,"Measures the degree of 'Social-cognition variable: Faux Pas Recognition accuracy' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Conscientiousness (C):,Conscientiousness (C),Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Use of Nature as a Stress Reliever,Use of Nature as a Stress Reliever,Personality/Cognitive,True,Low,"Measures the degree of 'Use of Nature as a Stress Reliever' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Attitude toward learning,Attitude toward learning,Personality/Cognitive,True,Low,"Measures the degree of 'Attitude toward learning' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Conscientiousness Facets:,Conscientiousness Facets,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Honesty-humility trait score,Honesty-humility trait score,Personality/Cognitive,True,Low,"Measures the degree of 'Honesty-humility trait score' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Digital-nomad months,Digital-nomad months,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
516. Religious coping – Negative,Religious coping – Negative,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Snacking Behavior,Snacking Behavior,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Aura-color perception,Aura-color perception,Personality/Cognitive,True,Low,"Measures the degree of 'Aura-color perception' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
638. Sacred text engagement: Zohar (Kabbalah) study hours,Sacred text engagement: Zohar (Kabbalah) study hours,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Motivational Drivers:,Motivational Drivers,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Cloud-backup frequency,Cloud-backup frequency,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Learning Style,Learning Style,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
872. Islamic practice: Seerah study hours,Islamic practice: Seerah study hours,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Safety compliance,Safety compliance,Personality/Cognitive,True,Low,"Measures the degree of 'Safety compliance' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Sensationalism,Sensationalism,Personality/Cognitive,True,Low,"Measures the degree of 'Sensationalism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Nationality,Nationality,Personality/Cognitive,True,Low,"Measures the degree of 'Nationality' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Drollness,Drollness,Personality/Cognitive,True,Low,"Measures the degree of 'Drollness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Cooperation,Cooperation,Personality/Cognitive,True,Low,"Measures the degree of 'Cooperation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Breakfast-skipping frequency,Breakfast-skipping frequency,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
922. Sikh spiritual metric: Kirtan participation frequency,Sikh spiritual metric: Kirtan participation frequency,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Impulsivity,Impulsivity,Personality/Cognitive,True,Low,"Measures the degree of 'Impulsivity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Museum visits/year,Museum visits/year,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Choir participation years,Choir participation years,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Delegation Ability,Delegation Ability,Personality/Cognitive,True,Low,"Measures the degree of 'Delegation Ability' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
788. Kabbalah sephira balance: Tiferet,Kabbalah sephira balance: Tiferet,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Desire to influence others,Desire to influence others,Personality/Cognitive,True,Low,"Measures the degree of 'Desire to influence others' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Vivacity,Vivacity,Personality/Cognitive,True,Low,"Measures the degree of 'Vivacity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Genialness,Genialness,Personality/Cognitive,True,Low,"Measures the degree of 'Genialness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Cognitive measure: Working Memory Index,Cognitive measure: Working Memory Index,Personality/Cognitive,True,Low,"Measures the degree of 'Cognitive measure: Working Memory Index' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Ethical practices,Ethical practices,Personality/Cognitive,True,Low,"Measures the degree of 'Ethical practices' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
945. New-Age spiritual metric: Channeling sessions / year,New-Age spiritual metric: Channeling sessions / year,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Civility,Civility,Personality/Cognitive,True,Low,"Measures the degree of 'Civility' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Sleep Apnea,Sleep Apnea,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Classiness,Classiness,Personality/Cognitive,True,Low,"Measures the degree of 'Classiness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Control over situations,Control over situations,Personality/Cognitive,True,Low,"Measures the degree of 'Control over situations' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Time outdoors/day (h),Time outdoors/day (h),Personality/Cognitive,True,Low,"Measures the degree of 'Time outdoors/day (h)' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Effeteness,Effeteness,Personality/Cognitive,True,Low,"Measures the degree of 'Effeteness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Polygenic risk: cardiovascular disease,Polygenic risk: cardiovascular disease,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Psychological construct: Identity Diffusion level,Psychological construct: Identity Diffusion level,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Identity Diffusion level' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Learning through movement,Learning through movement,Personality/Cognitive,True,Low,"Measures the degree of 'Learning through movement' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Caffeine sensitivity gene,Caffeine sensitivity gene,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Hatefulness,Hatefulness,Personality/Cognitive,True,Low,"Measures the degree of 'Hatefulness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Persistence:,Persistence,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Psychological construct: Perfectionistic Strivings,Psychological construct: Perfectionistic Strivings,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Perfectionistic Strivings' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Wake-time consistency,Wake-time consistency,Personality/Cognitive,True,Low,"Measures the degree of 'Wake-time consistency' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Numerical Reasoning:,Numerical Reasoning,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Social-cognition variable: Mentalizing network activation,Social-cognition variable: Mentalizing network activation,Personality/Cognitive,True,Low,"Measures the degree of 'Social-cognition variable: Mentalizing network activation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Patriotism,Patriotism,Personality/Cognitive,True,Low,"Measures the degree of 'Patriotism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Leadership Styles:,Leadership Styles,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Servility,Servility,Personality/Cognitive,True,Low,"Measures the degree of 'Servility' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
742. I Ching hexagram 24 resonance level,I Ching hexagram 24 resonance level,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Enneagram Personality Types:,Enneagram Personality Types,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Stress Recovery Ability,Stress Recovery Ability,Personality/Cognitive,True,Low,"Measures the degree of 'Stress Recovery Ability' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Troubleshooting technical issues,Troubleshooting technical issues,Personality/Cognitive,True,Low,"Measures the degree of 'Troubleshooting technical issues' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Defense-mechanism tendency: Introjection,Defense-mechanism tendency: Introjection,Personality/Cognitive,True,Low,"Measures the degree of 'Defense-mechanism tendency: Introjection' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Irritability,Irritability,Personality/Cognitive,True,Low,"Measures the degree of 'Irritability' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Travel-companions diversity,Travel-companions diversity,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
627. Sacred text engagement: Quran surahs memorized,Sacred text engagement: Quran surahs memorized,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Trust in others,Trust in others,Personality/Cognitive,True,Low,"Measures the degree of 'Trust in others' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Gamified-finance-app usage,Gamified-finance-app usage,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
823. Buddhist practice: Eightfold Path – Right Intention level,Buddhist practice: Eightfold Path – Right Intention level,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Caffeine intake (mg/day),Caffeine intake (mg/day),Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Comfort with Vulnerability,Comfort with Vulnerability,Personality/Cognitive,True,Low,"Measures the degree of 'Comfort with Vulnerability' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Anticipativeness,Anticipativeness,Personality/Cognitive,True,Low,"Measures the degree of 'Anticipativeness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Additional Common Parameters and Their End Points:,Additional Common Parameters and Their End Points,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Avoiding:,Avoiding,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Home-security-system presence,Home-security-system presence,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
HEXACO domain: Honesty-Humility,HEXACO domain: Honesty-Humility,Personality/Cognitive,True,Low,"Measures the degree of 'HEXACO domain: Honesty-Humility' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Eating Habits (Home-Cooked vs. Eating Out),Eating Habits (Home-Cooked vs. Eating Out),Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Decision-Making Confidence,Decision-Making Confidence,Personality/Cognitive,True,Low,"Measures the degree of 'Decision-Making Confidence' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Alignment with societal roles,Alignment with societal roles,Personality/Cognitive,True,Low,"Measures the degree of 'Alignment with societal roles' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Connectedness: Belief in interconnections,Connectedness: Belief in interconnections,Personality/Cognitive,True,Low,"Measures the degree of 'Connectedness: Belief in interconnections' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Quirkiness,Quirkiness,Personality/Cognitive,True,Low,"Scores from 1 (very literal/conventional) to 5 (highly sarcastic, quirky, or eccentric language).",
Creative resilience,Creative resilience,Personality/Cognitive,True,Low,"Measures the degree of 'Creative resilience' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Rapid cognitive processing,Rapid cognitive processing,Personality/Cognitive,True,Low,"Measures the degree of 'Rapid cognitive processing' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Cordiality,Cordiality,Personality/Cognitive,True,Low,"Measures the degree of 'Cordiality' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Types of Mindfulness Techniques Used,Types of Mindfulness Techniques Used,Personality/Cognitive,True,Low,"Measures the degree of 'Types of Mindfulness Techniques Used' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Economic reasoning,Economic reasoning,Personality/Cognitive,True,Low,"Measures the degree of 'Economic reasoning' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Conformity,Conformity,Personality/Cognitive,True,Low,"Measures the degree of 'Conformity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Pet-enrichment activities count,Pet-enrichment activities count,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Aestheticism,Aestheticism,Personality/Cognitive,True,Low,"Measures the degree of 'Aestheticism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Type of Support Preferred (Emotional vs. Practical),Type of Support Preferred (Emotional vs. Practical),Personality/Cognitive,True,Low,"Measures the degree of 'Type of Support Preferred (Emotional vs. Practical)' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Mental Arithmetic Speed,Mental Arithmetic Speed,Personality/Cognitive,True,Low,"Measures the degree of 'Mental Arithmetic Speed' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Patience: Resistance to anger,Patience: Resistance to anger,Personality/Cognitive,True,Low,"Scores from 1 (exceptionally polite/calm) to 5 (highly argumentative, hostile, or angry tone).",
Flawlessness,Flawlessness,Personality/Cognitive,True,Low,"Measures the degree of 'Flawlessness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Self-Efficacy,Self-Efficacy,Personality/Cognitive,True,Low,"Measures the degree of 'Self-Efficacy' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Computer Skills:,Computer Skills,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
899. Jewish spiritual metric: Shabbat candle-lighting consistency,Jewish spiritual metric: Shabbat candle-lighting consistency,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Spelling Accuracy,Spelling Accuracy,Personality/Cognitive,True,Low,"Measures the degree of 'Spelling Accuracy' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
793. Sufi practice: Dhikr repetitions / day,Sufi practice: Dhikr repetitions / day,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Peacefulness,Peacefulness,Personality/Cognitive,True,Low,"Measures the degree of 'Peacefulness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Doggedness,Doggedness,Personality/Cognitive,True,Low,"Measures the degree of 'Doggedness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Decency,Decency,Personality/Cognitive,True,Low,"Measures the degree of 'Decency' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Processed-food frequency,Processed-food frequency,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
